,index,player_id,player_name,player_short_name,player_skill,player_role,player_red_card,player_yellow_card,player_green_card,player_jersey,player_played,player_captain,player_on_court,player_on_starter,player_total_points,player_raid_points_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_tackle_points_capture_bonus,player_raids_total,player_raids_successful,player_raids_unsuccessful,player_raids_Empty,player_tackles_total,player_tackles_successful,player_tackles_unsuccessful,match_id,team_id
0,0,15,Sanjay Shrestha,Sanjay Shrestha,,,False,False,False,88,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,96,Rohit Rana,Rohit Rana,,,False,False,False,10,True,False,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
0,0,72,Navneet Gautam,Navneet Gautam,,,False,False,False,9,True,True,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3
0,0,52,Jasvir Singh,Jasvir Singh,,,False,False,False,2,True,False,False,True,12,8,7,1,4,4,1,12,7,3,2,10,3,7,1,3
0,0,22,Wei Yang,Wei Yang,,,False,False,False,20,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,144,Gokul Shitole,Gokul Shitole,,,False,False,False,15,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,147,Prashant Chavan,Prashant Chavan,,,False,False,False,18,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,32,Balbir Singh,Balbir Singh,,,False,False,False,1,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,44,Gangadhari Mallesh,Gangadhari Mallesh,,,False,False,False,0,True,False,True,True,3,3,2,1,0,0,0,3,3,0,0,2,0,2,1,3
0,0,87,Raju Lal Choudhary,Raju Lal Choudhary,,,False,False,False,9,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
0,0,86,Rajesh Narwal,Rajesh Narwal,,,False,False,False,11,True,False,False,True,5,3,3,0,2,2,0,9,2,2,5,5,2,3,1,3
0,0,143,Maninder Singh,Maninder Singh,,,False,False,False,9,True,False,False,True,17,11,10,1,6,6,1,14,8,5,1,15,5,10,1,3
0,0,54,Jeeva Kumar,Jeeva Kumar,,,False,False,False,6,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,53,Jeeva Gopal,Jeeva Gopal,,,False,False,False,6,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,146,Surender Nada,Surender Nada,,,False,False,False,1,True,False,True,True,2,2,2,0,0,0,0,2,1,0,1,2,0,2,1,5
0,0,8,Masayuki Shimokawa,Masayuki Shimokawa,,,False,False,False,1,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,105,Shabeer Bappu,Shabeer Bappu,,,False,False,False,2,True,False,False,True,8,8,6,2,0,0,0,13,6,1,6,6,0,6,1,5
0,0,1,Mohammad Ziaur Rahman,Mohammad Ziaur Rahman,,,False,False,False,5,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,117,Suresh Pathapalem,Suresh Pathapalem,,,False,False,False,5,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,123,Vishal Mane,Vishal Mane,,,False,False,False,12,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,94,Rishank Devadiga,Rishank Devadiga,,,False,False,False,777,True,False,False,True,6,5,4,1,1,1,0,9,4,1,4,5,1,4,1,5
0,0,71,Mohit Chhillar,Mohit Chhillar,,,False,False,False,4,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,29,Anup Kumar,Anup Kumar,,,False,False,False,3,True,True,False,True,13,13,11,2,0,0,0,15,9,2,4,11,0,11,1,5
0,0,145,Md. Aruduzzaman Munshi,Aruduzzaman Munshi,,,False,False,False,2,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0,0,4,Ehsan Zamani Fard,Ehsan Zamani Fard,,,False,False,False,1,True,False,True,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,2
0,0,9,Takamitsu Kono,Takamitsu Kono,,,False,False,False,15,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,11,Dong Ju Hong,Dong Ju Hong,,,False,False,False,55,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,28,Amit Singh Chhillar,Amit Singh Chhillar,,,False,False,False,4,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,33,Bhabesh Kumar,Bhabesh Kumar,,,False,False,False,0,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,38,Dadaso Balaso Awad,Dadaso Balaso Awad,,,False,False,False,9,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,47,Haresh Jalmi,Haresh Jalmi,,,False,False,False,8,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
0,0,51,Jasmer Singh Gulia,Jasmer Singh Gulia,,,False,False,False,7,True,True,False,True,2,1,0,1,1,1,0,2,1,1,0,1,1,0,10,2
0,0,58,Kashiling Adake,Kashiling Adake,,,False,False,False,11,True,False,False,True,14,11,11,0,3,3,0,17,10,4,3,14,3,11,10,2
0,0,80,Punit Kumar Teotia,Punit Kumar Teotia,,,False,False,False,5,True,False,False,True,1,0,0,0,1,1,0,1,0,1,0,1,1,0,10,2
0,0,107,Shrikant Tewthia,Shrikant Tewthia,,,False,False,False,12,True,False,False,True,8,6,3,3,2,2,0,7,5,2,0,5,2,3,10,2
0,0,118,Surjeet Narwal,Surjeet Narwal,,,False,False,False,10,True,False,False,True,12,8,7,1,4,4,0,16,8,4,4,11,4,7,10,2
0,0,5,Farhad Kamal Gharibi,Farhad Kamal Gharibi,,,False,False,False,99,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,12,Jang Kun Lee,Jang Kun Lee,,,False,False,False,4,True,False,False,True,9,8,8,0,1,1,0,7,5,1,1,9,1,8,10,4
0,0,13,Seong Ryeol Kim,Seong Ryeol Kim,,,False,False,False,85,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,48,Hitesh Patel,Hitesh Patel,,,False,False,False,22,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,66,Mahesh Goud,Mahesh Goud,,,False,False,False,1,True,False,False,True,9,6,6,0,3,3,1,13,4,2,6,8,2,6,10,4
0,0,73,Nilesh Shinde,Nilesh Shinde,,,False,False,False,6,True,True,False,True,2,1,0,1,1,1,0,1,0,1,0,1,1,0,10,4
0,0,75,Nitin Madane,Nitin Madane,,,False,False,False,7,True,False,False,True,14,10,5,5,4,4,0,24,7,4,13,9,4,5,10,4
0,0,77,Parveen Kumar,Parveen Kumar,,,False,False,False,66,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,98,Sachin Khambe,Sachin Khambe,,,False,False,False,0,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,99,Sanjay Sharma,Sanjay Sharma,,,False,False,False,3,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,108,Shyam Kumar Sah,Shyam Kumar Sah,,,False,False,False,0,True,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,141,Sunil Jaipal,Sunil Jaipal,,,False,False,False,66,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
0,0,58,Kashiling Adake,,,,False,False,True,11,True,False,False,True,13,13,12,1,0,0,0,19,8,4,7,0,0,0,100,2
0,0,222,G. S. Manikandan,,,,False,False,False,2,True,False,True,True,2,0,0,0,2,1,1,0,0,0,0,3,1,2,100,2
0,0,38,Dadaso Balaso Awad,,,,False,False,False,9,True,False,False,True,4,2,2,0,2,2,0,5,1,1,3,3,2,1,100,2
0,0,217,Rohit Kumar Choudary,,,,False,False,False,1,True,False,False,True,6,6,6,0,0,0,0,13,2,2,9,0,0,0,100,2
